,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Colorado
6,Connecticut
7,Delaware
8,Florida
9,Georgia
10,Hawaii
11,Idaho
12,Illinois
13,Indiana
14,Iowa
15,Kansas
16,Kentucky
17,Louisiana
18,Maine
19,Maryland
20,Massachusetts
21,Michigan
22,Minnesota
23,Missouri
24,Montana
25,Nebraska
26,Nevada
27,New Hampshire
28,New Jersey
29,New Mexico
30,North Carolina
31,North Dakota
32,Oklahoma
33,Oregon
34,Pennsylvania
35,Rhode Island
36,South Carolina
37,South Dakota
38,Tennessee
39,Utah
40,Vermont
41,Virginia
42,Washington
43,West Virginia
44,Wisconsin
45,Wyoming
